nom;latitude_mairie;longitude_mairie;beach_coordinates;latitude_plage;longitude_plage;station;latitude_gare;longitude_gare;latitude_port;longitude_port
Audenge;44.7650504;-1.1394883;[(Decimal('44.6602730'), Decimal('-1.2392151')), (Decimal('44.6757446'), Decimal('-1.2566210')), (Decimal('44.6549241'), Decimal('-1.2593940')), (Decimal('44.7988490'), Decimal('-1.2343628')), (Decimal('44.7095954'), Decimal('-1.0593177')), (Decimal('44.7137204'), Decimal('-1.0675047')), (Decimal('44.7192020'), Decimal('-1.0743364')), (Decimal('44.7334298'), Decimal('-1.0921992')), (Decimal('44.7258332'), Decimal('-1.0850044')), (Decimal('44.7386995'), Decimal('-1.0997896')), (Decimal('44.7445299'), Decimal('-1.1184185')), (Decimal('44.6979740'), Decimal('-1.2536291'))];44.6981;-0.96155;[(Decimal('44.6566928'), Decimal('-1.2400756')), (Decimal('44.6551021'), Decimal('-1.2583599')), (Decimal('44.7440903'), Decimal('-1.1088665')), (Decimal('44.6372409'), Decimal('-0.9661780')), (Decimal('44.6904210'), Decimal('-0.8537008')), (Decimal('44.6582625'), Decimal('-0.8220599')), (Decimal('44.6583998'), Decimal('-0.8223998'))];44.684214;-1.012843;44.676838;-1.0282
Biganos;44.638199;-0.952417;[];44.64819;-0.949103;[(Decimal('44.6372409'), Decimal('-0.9661780'))];44.637481;-0.967118;44.643413;-0.999109
Bourg;45.0819782;-0.4960701;[];;;[(None, None)];;;;
Cubzac-les-Ponts;44.972181;-0.440282;[];44.97195;-0.456531;[(Decimal('44.9729725'), Decimal('-0.4590937'))];44.97195;-0.456531;44.967596;-0.456939
Lanton;44.7022051;-1.0355407;[(Decimal('44.7095954'), Decimal('-1.0593177')), (Decimal('44.7137204'), Decimal('-1.0675047')), (Decimal('44.7192020'), Decimal('-1.0743364'))];44.702702;-1.041299;[(None, None)];44.72003;-1.068449;44.710649;-1.056418
Lège-Cap-Ferret;44.6977064;-1.2295766;[(Decimal('44.6602730'), Decimal('-1.2392151')), (Decimal('44.6757446'), Decimal('-1.2566210')), (Decimal('44.6549241'), Decimal('-1.2593940')), (Decimal('44.7988490'), Decimal('-1.2343628')), (Decimal('44.6979740'), Decimal('-1.2536291'))];44.655908;-1.241556;[(Decimal('44.6566928'), Decimal('-1.2400756')), (Decimal('44.6551021'), Decimal('-1.2583599'))];44.795696;-1.139891;44.745088;-1.178685
Portets;44.6962255;-0.4243844;[];;;[(Decimal('44.6928657'), Decimal('-0.4253867'))];44.693751;-0.425129;44.699119;-0.425892
Prignac-et-Marcamps;45.0324917;-0.4925572;[];45.036294;-0.499837;[(None, None)];45.029013;-0.499015;45.019349;-0.483307
Saint-André-de-Cubzac;45.0272222;-0.4412712;[];44.99533;-0.439459;[(Decimal('44.9729725'), Decimal('-0.4590937')), (Decimal('45.0152870'), Decimal('-0.4198416')), (Decimal('45.0543754'), Decimal('-0.3992247')), (Decimal('45.0337371'), Decimal('-0.4767372'))];44.992644;-0.442629;45.005774;-0.480049
Saint-Gervais;46.7150305;-70.8861999;[];;;[(None, None)];;;;
Longeville-sur-Mer;46.409313;-1.488065;[];46.400884;-1.506406;[(None, None)];46.423609;-1.492817;46.406754;-1.422306
Algajola;42.608737;8.861894;[];42.608624;8.861694;[(Decimal('42.6083787'), Decimal('8.8603704'))];42.608417;8.860612;42.60887;8.851006
Corbara;42.621664;8.911394;[];42.621664;8.911394;[(Decimal('42.6237919'), Decimal('8.8856153')), (Decimal('42.6276007'), Decimal('8.9131001'))];42.621664;8.911394;42.621664;8.911394
Île-Rousse;;;[];;;[(None, None)];;;;
Monticello;45.3025000;-93.7986111;[];;;[(Decimal('42.6315967'), Decimal('8.9573650'))];;;;
Occhiatana;42.5746864;9.0094744;[];42.600175;9.001631;[(Decimal('42.5823935'), Decimal('9.0051035'))];42.600175;9.001631;42.600175;9.001631
Patrimonio;42.6971932;9.3622291;[(Decimal('42.7151385'), Decimal('9.3231851')), (Decimal('42.7051577'), Decimal('9.3226930'))];42.697945;9.365233;[(None, None)];42.697945;9.365233;42.697483;9.360484
Saint-Florent;46.3116763;-0.4654490;[];42.668924;9.28651;[(Decimal('42.6791809'), Decimal('9.3004042'))];;;;
Santo-Pietro-di-Tenda;42.6050946;9.2586878;[];42.604636;9.257164;[(None, None)];42.604636;9.257164;42.657507;9.231404
Ville-di-Pietrabugno;42.709352;9.433176;[];42.713553;9.431018;[(None, None)];42.709579;9.453649;42.709424;9.454548
Bénouville;49.7174619;0.2511382;[];;;[(None, None)];;;;
Étretat;49.70977;0.218206;[];49.706484;0.207513;[(None, None)];49.708848;0.217112;;
Heuqueville;49.6161998;0.1461671;[];49.6197;0.160439;[(None, None)];;;;
Poterie-Cap-d'Antifer;49.671817;0.189065;[];49.676981;0.177379;[(None, None)];49.676981;0.177379;49.676981;0.177379
Saint-Jouin-Bruneval;49.642531;0.197884;[];49.637159;0.182447;[(None, None)];;;49.650981;0.1588
Tilleul;;;[];;;[(None, None)];;;;
Ploëzal;48.713921;-3.205529;[];48.705654;-3.159571;[(None, None)];48.718607;-3.202721;48.708415;-3.201231
Saint-Samson-sur-Rance;48.491796;-2.028271;[];48.491583;-2.01871;[(Decimal('48.4961040'), Decimal('-2.0042138'))];48.491583;-2.01871;48.495329;-2.003641
Clohars-Carnoët;47.770616;-3.532197;[];47.76737;-3.55403;[(Decimal('47.7713520'), Decimal('-3.5317104')), (Decimal('47.7714397'), Decimal('-3.6095398'))];47.775009;-3.608148;47.770901;-3.53754
Concarneau;47.8709468;-3.9193230;[(Decimal('47.8149990'), Decimal('-3.8714576')), (Decimal('47.8218286'), Decimal('-3.8795042'))];47.851271;-3.909186;[(Decimal('47.8779798'), Decimal('-3.9205332')), (Decimal('47.8774501'), Decimal('-3.9204260')), (Decimal('47.9604456'), Decimal('-3.8326856'))];47.878506;-3.91951;47.876616;-3.910473
Moëlan-sur-Mer;47.8554775;-3.7442667;[(Decimal('47.8149990'), Decimal('-3.8714576')), (Decimal('47.8218286'), Decimal('-3.8795042'))];47.81127;-3.633552;[(None, None)];47.775128;-3.644358;47.782021;-3.643265
Névez;47.8190635;-3.7934356;[];47.80261;-3.742121;[(None, None)];;;47.800496;-3.743183
Pont-Aven;47.8554775;-3.7442667;[];;;[(None, None)];47.857141;-3.743377;47.854637;-3.748324
Quimperlé;47.8581354;-3.6044201;[];47.859379;-3.564224;[(Decimal('47.7713520'), Decimal('-3.5317104')), (Decimal('47.7714397'), Decimal('-3.6095398')), (Decimal('47.8694696'), Decimal('-3.5530139'))];47.867696;-3.549663;47.847818;-3.547918
Riec-sur-Bélon;47.8428770;-3.6935074;[];47.852994;-3.680678;[(None, None)];47.845024;-3.688733;47.844083;-3.688527
Trégunc;47.85476;-3.852407;[(Decimal('47.8149990'), Decimal('-3.8714576')), (Decimal('47.8218286'), Decimal('-3.8795042'))];47.835357;-3.89111;[(None, None)];47.856863;-3.85013;47.794484;-3.852296
Caudan;47.8104040;-3.3400496;[];;;[(None, None)];;;47.784899;-3.351183
Cléguer;47.8533075;-3.3846505;[];;;[(None, None)];47.868939;-3.388646;;
Gâvres;47.6965078;-3.3530302;[];47.693751;-3.354431;[(None, None)];;;47.699412;-3.350945
Guidel;47.8438061;-3.2664434;[];47.741731;-3.500861;[(Decimal('47.7717726'), Decimal('-3.5295534')), (Decimal('47.8570331'), Decimal('-3.2141432')), (Decimal('47.8029641'), Decimal('-3.4431612'))];47.79786;-3.488443;47.772436;-3.526841
